SRNase	SRNase	499979	501322
Fbox	Fbox	447113	447601
Fbox	Fbox	452067	453338
Fbox	Fbox	475412	475933
Fbox	Fbox	475939	476544
Fbox	Fbox	523151	524380
Fbox	Fbox	524626	524802
Fbox	Fbox	566066	565590
Fbox	Fbox	565665	564892
Fbox	Fbox	505697	505437
Fbox	Fbox	503852	502638
Fbox	Fbox	473497	472274
Fbox	Fbox	386568	386380
Fbox	Fbox	386122	385829
Fbox	Fbox	367675	366311
